genus,species,tmax,tmin,phylum,class,order,family,scientific_name_std,n,lat,long,region
Cataulacus,horridus,43.25,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Cataulacus horridus,NA,4.05,114.81,Tropical
Crematogaster,inflata,47.75,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Crematogaster inflata,NA,4.05,114.81,Tropical
Crematogaster,Physocremasp,40.75,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,4.05,114.81,Tropical
Crematogaster,sp.1,47.75,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,4.05,114.81,Tropical
Crematogaster,sp.2,46.75,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,4.05,114.81,Tropical
Dolichoderus,beccarii,45.63,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Dolichoderus beccarii,NA,4.05,114.81,Tropical
Dolichoderus,cuspidatus,44.5,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Dolichoderus cuspidatus,NA,4.05,114.81,Tropical
GM-10-261,NA,45.75,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,4.05,114.81,Tropical
Gnamptogenys,sp.1,43.75,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,4.05,114.81,Tropical
Leptogenys,sp.1,41.5,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,4.05,114.81,Tropical
Monomorium,floricola,47.5,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Monomorium floricola,NA,4.05,114.81,Tropical
Monomorium,pharaonis,47.25,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Monomorium pharaonis,NA,4.05,114.81,Tropical
Myrmicaria,sp.1,46,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,4.05,114.81,Tropical
Pachycondyla,tridentata,42,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Pachycondyla tridentata,NA,4.05,114.81,Tropical
Pheidologeton,sp.1,44.38,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,4.05,114.81,Tropical
Polyrhachis,bihamata,45,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Polyrhachis bihamata,NA,4.05,114.81,Tropical
Polyrhachis,furcata,44,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Polyrhachis furcata,NA,4.05,114.81,Tropical
Polyrhachis,sp.1,43,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,4.05,114.81,Tropical
Tapinoma,sp.1,45.75,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,4.05,114.81,Tropical
Technomyrmex,sp.1,44.25,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,4.05,114.81,Tropical
Tetramorium,sp.1,44.7,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,4.05,114.81,Tropical
Tetramorium,Triglyphotrixsp,44.25,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,4.05,114.81,Tropical
Epigomphus,quadracies,41.1,NA,Arthropoda,Insecta,Odonata,Gomphidae,Epigomphus quadracies,2,9.16,-79.83,Tropical
Erythemis,credula,45.6,NA,Arthropoda,Insecta,Odonata,Libellulidae,Erythemis credula,14,9.16,-79.83,Tropical
Erythemis,plebeja,46.8,NA,Arthropoda,Insecta,Odonata,Libellulidae,Erythemis plebeja,15,9.16,-79.83,Tropical
Miathyria,marcella,47,NA,Arthropoda,Insecta,Odonata,Libellulidae,Miathyria marcella,16,9.16,-79.83,Tropical
Micrathyria,aequalis,45.4,NA,Arthropoda,Insecta,Odonata,Libellulidae,Micrathyria aequalis,13,9.16,-79.83,Tropical
Micrathyria,eximia,44.7,NA,Arthropoda,Insecta,Odonata,Libellulidae,Micrathyria eximia,14,9.16,-79.83,Tropical
Micrathyria,ocellata,44.3,NA,Arthropoda,Insecta,Odonata,Libellulidae,Micrathyria ocellata,16,9.16,-79.83,Tropical
Tauriphila,argo,48.5,NA,Arthropoda,Insecta,Odonata,Libellulidae,Tauriphila argo,11,9.16,-79.83,Tropical
Tramea,cophysa,47.6,NA,Arthropoda,Insecta,Odonata,Libellulidae,Tramea cophysa,10,9.16,-79.83,Tropical
Tramea,walkeri,46.3,NA,Arthropoda,Insecta,Odonata,Libellulidae,Tragia walkeri,10,9.16,-79.83,Tropical
Eciton,burchellii,51.3,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Eciton burchellii,372,9.6,-82.7,Tropical
Conocephalus,saltator,50,NA,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Conocephalus saltator,8,9.2,-79.8,Tropical
Sarcophaga,sp.1,50,NA,Arthropoda,Insecta,Diptera,Sarcophagidae,NA,8,9.2,-79.8,Tropical
Nysius,wekiuicola,NA,-18,Arthropoda,Insecta,Hemiptera,Lygaeidae,Nysius wekiuicola,13,20.15,-155.49,Tropical
Colpodes,sp.1,NA,-5,Arthropoda,Insecta,Coleoptera,Carabidae,NA,10,0.6,-71.2,Tropical
Colpodes,sp.2,NA,-5,Arthropoda,Insecta,Coleoptera,Carabidae,NA,6,0.6,-71.2,Tropical
Meridacris,subaptera,NA,-9,Arthropoda,Insecta,Orthoptera,Acrididae,Meridacris subaptera,5,0.6,-71.2,Tropical
Canthon,humectus_hidalgoensis,NA,-6.5,Arthropoda,Insecta,Coleoptera,Scarabaeidae,NA,NA,20.4,-99.13,Tropical
Cladonia,oceanica,37.5,NA,Ascomycota,Lecanoromycetes,Lecanorineae,Cladoniaceae,Cladonia oceanica,NA,19.4,-155.3,Tropical
Cladonia,skottsbergi,35.5,NA,Ascomycota,Lecanoromycetes,Lecanorineae,Cladoniaceae,Cladonia skottsbergii,NA,19.4,-155.3,Tropical
Anaptychia,leucomelaena,NA,-7.5,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Heterodermia leucomelos,NA,4.2,9.2,Tropical
Parmelia,schimperi,NA,-3,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,Parmelia schimperi,NA,4.2,9.2,Tropical
